absolute_course_url,course_name,subject_name
https://www.class-central.com/course/coursera-advanced-business-strategy-4358,Advanced Business Strategy,Business
https://www.class-central.com/course/coursera-essentials-of-corporate-finance-capstone-4857,Essentials of Corporate Finance Capstone,Business
https://www.class-central.com/course/coursera-marketing-analytics-4868,Marketing Analytics,Business
https://www.class-central.com/course/coursera-foundations-of-everyday-leadership-5251,Foundations of Everyday Leadership,Business
https://www.class-central.com/course/coursera-negocios-internacionales-i-4933,Negocios Internacionales I,Business
https://www.class-central.com/course/coursera-developing-an-entrepreneurial-mindset-first-step-towards-success-5596,Developing An Entrepreneurial Mindset: First Step Towards Success ,Business
https://www.class-central.com/course/coursera-------5409,"Инфраструктура рынка, методы и технологии инвестирования",Business
https://www.class-central.com/course/coursera-optimizing-a-website-for-search-5512,Optimizing a Website for Search,Business
https://www.class-central.com/course/coursera-meeting-investors-goals-5515,Meeting Investors' Goals,Business
https://www.class-central.com/course/coursera----5577,Управление стоимостью компании,Business
https://www.class-central.com/course/coursera-introduction-to-search-engine-optimization-5488,Introduction to Search Engine Optimization,Business
https://www.class-central.com/course/coursera-channel-management-and-retailing-5499,Channel Management and Retailing ,Business
https://www.class-central.com/course/coursera-creating-and-developing-a-tech-startup-5861,Creating and Developing a Tech Startup,Business
https://www.class-central.com/course/coursera-exploring-and-producing-data-for-business-decision-making-5757,Exploring and Producing Data for Business Decision Making,Business
https://www.class-central.com/course/coursera-l-impact-investing-comprendre-les-fondamentaux-6203,L'impact investing : comprendre les fondamentaux,Business
https://www.class-central.com/course/coursera-market-research-and-consumer-behavior-6204,Market Research and Consumer Behavior,Business
https://www.class-central.com/course/coursera-applying-investment-decision-rules-for-startups-6972,Applying Investment Decision Rules for Startups,Business
https://www.class-central.com/course/coursera-estilos-de-liderazgo-opciones-para-avanzar-en-desafios-complejos-6849,Estilos de Liderazgo: opciones para avanzar en desafíos complejos,Business
https://www.class-central.com/course/coursera-camino-a-la-excelencia-en-gestion-de-proyectos-7109,Camino a la Excelencia en Gestión de Proyectos,Business
https://www.class-central.com/course/coursera-costos-para-los-negocios-7115,Costos para los Negocios,Business
https://www.class-central.com/course/coursera-capstone-build-a-winning-investment-portfolio-7045,Capstone: Build a Winning Investment Portfolio,Business
https://www.class-central.com/course/coursera-the-strategy-of-content-marketing-7799,The Strategy of Content Marketing,Business
https://www.class-central.com/course/coursera-pricing-strategy-in-practice-8353,Pricing Strategy in Practice,Business
https://www.class-central.com/course/coursera-financial-accounting-fundamentals-8304,Financial Accounting Fundamentals,Business
https://www.class-central.com/course/coursera-diversity-and-inclusion-in-the-workplace-8270,Diversity and inclusion in the workplace,Business
https://www.class-central.com/course/coursera-criacao-de-startups-como-desenvolver-negocios-inovadores-8546,Criação de Startups: Como desenvolver negócios inovadores,Business
https://www.class-central.com/course/coursera-reporting-extra-financier-et-strategie-rse-8637,Reporting extra-financier et stratégie RSE,Business
https://www.class-central.com/course/coursera-----9382,Банковское дело и финансы ,Business
https://www.class-central.com/course/coursera-accounting-analysis-ii-accounting-for-liabilities-and-equity-9114,Accounting Analysis II: Accounting for Liabilities and Equity,Business
https://www.class-central.com/course/coursera-six-sigma-advanced-define-and-measure-phases-9073,Six Sigma Advanced Define and Measure Phases,Business
